,기업명,장비 모델명,구성품,장치명,모델명,사양,제조사,제조국,표준 가격(원)
138,제트텍,ZFARM,옵 션 11,센서노드,센서노드,통신방식 : RS485 / TCP/IP 전원 : 220VAC / 12VDC,ZTEK,한국,"150,000원"
139,(주)우성하이텍,WIN-9000S,옵 션 1,양액자동공급기,WIN8000S,혼합탱크공급방식,(주)우성하이텍,대한민국,원
140,(주)우성하이텍,WIN-9000S,옵 션 2,양액자동공급기,WIN7000S,혼합탱크공급방식,(주)우성하이텍,대한민국,원
141,(주)우성하이텍,WIN-9000S,옵 션 3,관비기,ISS-202,액비혼합자동관수시설,(주)우성하이텍,대한민국,원
142,동서그린,DS-F200,옵 션 1,스마트영상장치,DS-7204,4대. HD-TVI720P.DVR,hikvision,중국,"270,000원"
143,동서그린,DS-F200,옵 션 2,IP카메라,DS-2CE,200만화소. 야간20M,hikvision,중국,"90,000원"
144,우림전기,URSF-01,옵 션 1,외부기상센서노드,SEN0186,"작동 전압: 3.3V 외부기상대보드 온도, 습도, 풍속, 풍향,  강우량, 기압 측정",DFRobot,국외,"800,000원"
145,우림전기,URSF-01,옵 션 2,CO2센서,MH-Z16,0~50000ppm,SENSIRION,국외,"150,000원"
146,우림전기,URSF-01,옵 션 3,온습도센서,SHT35,습도: 0~100% 온도: -10-80℃,DFRobot,국외,"150,000원"
147,우림전기,URSF-01,옵 션 4,CCTV,DS-2CD2043G0E-I,400만 화소,HIKVISION,국외,"140,000원"
148,우림전기,URSF-01,옵 션 5,PTZ,DS-2DE4225IW-DE,200만 화소,HIKVISION,국외,"580,000원"
149,우림전기,URSF-01,옵 션 6,NVR,DS-7608NI-K2/8p,8채널,HIKVISION,국외,"300,000원"
150,우림전기,URSF-01,옵 션 7,NVR,DS-7608NI-K2/16p,16채널,HIKVISION,국외,"450,000원"
151,우림전기,URSF-01,옵 션 8,모니터,LG모니터,24인치,LG,국내,"250,000원"
152,우림전기,URSF-01,옵 션 9,일체형PC,VIVA-T170PC,"17인치, 윈도우10 탑재",비아시스템,국내,"1,000,000원"
153,노아랩,NDI4O4M,옵 션 1,ICT 스마트제어기,NDI8,확장제어기,노아랩,한구,"150,000원"
154,노아랩,NDI4O4M,옵 션 2,ICT 스마트제어기,NDO8,확장제어기,노아랩,한국,"190,000원"
155,SI ENG,SHA-MAIN,옵 션 1,습도센서,SHA-HUM,0~99.9%,소하테크,국산,"250,000원"
156,SI ENG,SHA-MAIN,옵 션 2,CO2센서,SHA-CO2,0~2000ppm,소하테크,국산,"450,000원"
157,SI ENG,SHA-MAIN,옵 션 3,온도습도CO2센서,MZZ-THC,"5VDC /-55~125/0~100%/0~10,000ppm",만지작공방,국산,"280,000원"
158,SI ENG,SHA-MAIN,옵 션 4,광량센서,MZZ-Q70,"5VDC / 0 ~ 8,000 μmols/m^.s",만지작공방,국산,"450,000원"
159,SI ENG,SHA-MAIN,옵 션 5,배액EC/PH센서,MZZ-PHECT,5VDC/0.1~14.0pH/0~10mS/cm,만지작공방,국산,"300,000원"
160,SI ENG,SHA-MAIN,옵 션 6,지온지습EC센서,MZZ-WECT,5VDC/-40~85/0~100%/0~5mS/cm,만지작공방,국산,"400,000원"
161,SI ENG,SHA-MAIN,옵 션 7,일사센서,MZZ-P70,"5VDC / 0~2,000 W/m^",만지작공방,국산,"450,000원"
162,SI ENG,SHA-MAIN,옵 션 8,외기온습도센서,MZZ-WS(온습도),10~30V / -40~105 / 0~100%,만지작공방,국산,"187,000원"
163,SI ENG,SHA-MAIN,옵 션 9,풍향센서,MZZ-WS(풍향),10~30V / 0~360',만지작공방,국산,"165,000원"
164,SI ENG,SHA-MAIN,옵 션 10,풍속센서,MZZ-WS(풍속),10~30V / 0~70/s,만지작공방,국산,"165,000원"
165,태진테크,MC-V1000-8S,옵 션 1,온도경보기통신박스,MC-1012NS,온도값수집,태진테크,대한민국,"90,000원"
166,태진테크,MC-V1000-8S,옵 션 2,온도경보기통신박스,MC-1015S,온도/습도값수집,태진테크,대한민국,"150,000원"
167,글로벌스마트솔루션 주식회사,GSS-EGF201,옵 션 1,CCTV,ipTIME C200,1920 x 1080 Full HD,iptime,한국,"100,000원"
168,글로벌스마트솔루션 주식회사,GSS-EGF201,옵 션 2,NAS,NAS,OnVif 지원 CCTV 연결 영상 저장,iptime,한국,"1,000,000원"
169,글로벌스마트솔루션 주식회사,GSS-EGF201,옵 션 3,복합환경제어기,GSS-EGF201,제어판넬,글로벌스마트솔루션(주),한국,"1,000,000원"
170,글로벌스마트솔루션 주식회사,GSS-EGF201,옵 션 4,토양 센서,CWT-SOIL-THC-S,emp: -40~80℃ Hum: 0~100% RH EC:0~200000us/cm,ComWinTop,수입,"250,000원"
171,글로벌스마트솔루션 주식회사,GSS-EGF201,옵 션 5,기상 센서,MS-WH-SP-WS02,Temp: -40~65℃ Hum: 10~99% RH Wind speed: 0~100 mph,MISOL,수입,"300,000원"
172,글로벌스마트솔루션 주식회사,GSS-EGF201,옵 션 6,전자릴레이,구동기 제어,구동기제어기,글로벌스마트솔루션(주),한국,"1,000,000원"
173,글로벌스마트솔루션 주식회사,GSS-EGF201,옵 션 7,모니터,엘지모니터,24인치,엘지,국내,"250,000원"
174,글로벌스마트솔루션 주식회사,GSS-EGF201,옵 션 8,모니터,삼성모니터,32인치,삼성,국내,"350,000원"
175,글로벌스마트솔루션 주식회사,GSS-EGF201,옵 션 9,DVR,AST04 265,"4CH, FULL-HD(1080P), HDMI, VGA, SPOT 등",자비스넷,국내,"600,000원"
176,글로벌스마트솔루션 주식회사,GSS-EGF201,옵 션 10,CCTV,PTZ 카메라,"Full HD ( 2Mega ), 5.3~64mm, PoE 지원",자비스넷,국내,"910,000원"
177,글로벌스마트솔루션 주식회사,GSS-EGF201,옵 션 11,CCTV,가변 카메라,"Full HD ( 2Mega ), 2.8~12mm, PoE 지원",자비스넷,국내,"250,000원"
178,글로벌스마트솔루션 주식회사,GSS-EGF201,옵 션 12,일사 센서,WSR-7500+,"0~1,200 W/㎡",코리아디지탈,국내,"450,000원"
179,글로벌스마트솔루션 주식회사,GSS-EGF201,옵 션 13,PH 센서,CRT14016P,0-14 pH,ELECROW,수입,"50,000원"
